1	549	36	9	2010	1	3	13	494	1348	1467	10000000
2	776	23	9	2010	10	14	21	491	135	137	1500000
3	246	37	9	2010	7	10	18	74	334	1910	30000000
4	438	37	9	2006	1	3	10	817	1763	1652	28000000
5	775	37	9	1998	7	6	10	1636	1539	1402	90000000
6	33	37	9	2008	7	10	18	1373	1510	1691	24000000
7	488	37	9	2003	3	10	18	98	385	1827	35000000
8	624	37	9	2007	1	8	21	1126	1992	1908	53000000
9	571	37	9	1993	1	6	10	1877	931	701	33000000
11	346	37	9	2010	7	18	18	862	61	1378	20000000
12	161	37	9	2003	10	 0	 0	482	1190	393	 0
13	590	37	9	2010	1	14	19	1382	57	1109	60000000
14	234	36	9	2007	7	 0	 0	1303	1524	1656	9000000
15	195	37	9	1971	1	8	21	384	93	715	4000000
16	618	37	9	2010	1	17	21	98	1181	328	110000000
17	408	36	9	2010	1	7	8	190	558	1657	8000000
18	750	37	9	2010	1	3	21	1803	251	1376	82000000
19	670	20	14	2005	7	10	18	1635	869	1440	35000000
20	681	13	9	2010	10	17	21	595	1542	1474	45000000
21	446	11	9	2009	10	14	 0	1958	316	1798	11000000
22	751	21	15	1991	18	 0	 0	379	739	1669	 0
23	410	37	9	2010	1	7	 0	1954	1122	1665	10000000
24	808	37	9	2006	1	3	10	1126	1003	788	160000000
25	632	37	9	1990	1	8	21	251	1969	133	70000000
26	199	36	9	2009	19	17	10	1679	1103	495	5000000
27	487	37	9	2004	7	18	 0	1020	1225	171	 0
28	222	37	9	1998	10	18	 0	1688	713	650	30000000
29	503	37	9	2003	1	7	8	1957	1277	994	130000000
30	165	37	9	1995	8	10	17	223	1404	699	30000000
31	810	37	9	2008	10	18	 0	861	1519	1699	15000000
32	225	37	9	2007	10	19	21	1957	59	314	150000000
33	400	37	9	2006	3	7	10	691	1878	9	8000000
34	786	37	9	1991	1	7	8	251	416	429	 0
35	714	32	26	1980	7	 0	 0	1513	511	161	 0
36	529	37	9	2007	14	21	 0	951	1684	1286	22200000
37	206	32	23	1998	7	15	18	152	1766	606	 0
38	65	36	9	2010	9	7	 0	1833	154	1738	 0
39	756	36	9	2009	3	12	17	719	368	1914	18000000
40	198	37	9	2005	1	3	7	223	98	1923	110000000
41	96	37	9	2010	1	4	8	246	1424	900	 0
42	354	37	9	2010	1	3	21	1180	224	1552	110000000
43	376	37	9	1994	1	7	8	526	1009	722	50000000
44	374	36	9	2001	1	10	21	902	607	854	 0
45	359	37	9	1993	8	10	21	1347	1624	155	25000000
46	292	37	9	1999	7	10	18	230	62	370	35000000
47	135	37	9	2010	1	17	19	1169	1088	997	160000000
48	634	13	10	2010	1	8	21	869	1041	1600	20000000
49	546	37	9	2010	7	18	 0	513	1037	311	32000000
50	424	26	21	1984	3	7	19	1468	162	1901	 0
51	313	37	9	2005	1	19	21	749	1416	1778	54000000
52	416	37	9	2005	1	3	19	1420	676	28	39000000
53	527	37	9	2010	7	10	18	1344	1545	870	18000000
54	560	11	9	2009	1	3	 0	1233	835	644	10000000
55	434	37	9	2009	7	 0	 0	863	1099	1785	 0
56	313	37	9	2009	1	8	10	1564	1414	170	40000000
